수,밥,어묵국,닭갈비,1500
목,밥,소고기국,생선구이,2000
금,김치볶음밥,장국,돈까스,1000
토,밥,짜글이찌개,샐러드,1000
일,밥,알탕,계란찜,1000
월,카레라이스,계란국,돈까스,2000
화,밥,시락국,돈육볶음,2000
수,볶음밥,장국,생선까스,2000
목,밥,닭죽,떡갈비,1500
금,마파두부덮밥,계란국,고로케,1500
토,밥,제육뚝배기,진미채무침,1500
일,밥,콩나물국,오징어볶음,1500
월,밥,부대찌개,계란장조림,1500
화,밥,육개장,계란찜,1500
수,밥,수제비국,닭갈비,1500
목,밥,국밥,완자전,1500
금,컵밥,장국,단무지,1500
토,쌀밥,부대찌개,탕수육,1500
일,밥,북엇국,돈까스,2000
월,카레라이스,어묵국,만두튀김,2000
화,밥,김치찌개,탕수육,2000
수,밥,미역국,닭갈비,1500
목,마요덮밥,장국,떡볶이,1500
금,자장밥,계란국,만두튀김,1500
토,밥,닭죽,소세지,1500
일,밥,부대찌개,계란장조림,2500
월,밥,시락국,돈육볶음,2000
화,볶음밥,장국,떡볶이,2000
수,밥,스프,함박스테이크,1500
목,카레라이스,계란국,돈까스,1500
금,밥,국밥,두부구이,1500
토,밥,제육뚝배기,샐러드,1500
일,밥,수제비국,떡갈비,1500
월,밥,짬뽕국,탕수육,1500
화,밥,부대찌개,계란찜,1500
수,김치볶음밥,우동국,떡볶이,1500
